日期,標題,新聞稿網址,檔案網址,存放位置
2014-09-18,新聞發布第190號(103年6月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=44818&ctNode=302&mp=1,http://www.cbc.gov.tw/public/Attachment/491816173971.xls,xls_risk/c6555c1be405ba52ff513098fd285add.xls
2014-06-12,新聞發布第117號(103年3月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=44310&ctNode=302&mp=1,http://www.cbc.gov.tw/public/Attachment/461216234771.xls,xls_risk/31a81ecc7a7a0c55df0540e77a4ff609.xls
2014-03-20,新聞發布第061號(102年12月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=43926&ctNode=302&mp=1,http://www.cbc.gov.tw/public/Attachment/432017535771.xls,xls_risk/6898e692b3c9317a05db7d3e9364759f.xls
2013-12-13,新聞發布第271號(102年9月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=43447&ctNode=302&mp=1,http://www.cbc.gov.tw/public/Attachment/3121316333471.xls,xls_risk/4c549ea098dbee6717f9a106f0f750d5.xls
2013-09-14,新聞發布第204號(102年6月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=42915&ctNode=302&mp=1,http://www.cbc.gov.tw/public/Attachment/391416241571.xls,xls_risk/274e18ae7f2b432ec91817968986ecee.xls
2013-06-14,新聞發布第120號(102年3月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=42423&ctNode=302&mp=1,http://www.cbc.gov.tw/public/Attachment/36141632971.xls,xls_risk/30751e52758912362e17fd70112d4e76.xls
2013-03-15,新聞發布第060號(101年12月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=42004&ctNode=302&mp=1,http://www.cbc.gov.tw/public/Attachment/3661153971.xls,xls_risk/36d39fda3d3ec3946d14a47d0d0526e9.xls
2012-12-07,新聞發布第213號(101年9月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=41553&ctNode=302&mp=1,http://www.cbc.gov.tw/public/Attachment/36611501371.xls,xls_risk/ecaf67de9929aa0212a0cf06680342d6.xls
2012-09-07,新聞發布第148號(101年6月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=41139&ctNode=302&mp=1,http://www.cbc.gov.tw/public/Attachment/29716201771.xls,xls_risk/8ef60f34a8d0d851989bc8ebc5af1a43.xls
2012-06-15,新聞發布第099號(101年3月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=40712&ctNode=302&mp=1,http://www.cbc.gov.tw/public/Attachment/261516175071.xls,xls_risk/c852fb979771672a7006c87673f5e213.xls
2012-03-03,新聞發布第039號(100年12月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=40211&ctNode=302&mp=1,http://www.cbc.gov.tw/public/Attachment/23316114871.xls,xls_risk/446325c4946b1143a5ab8ca6f4db5421.xls
2011-12-16,新聞發布第238號(100年9月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=39802&ctNode=302&mp=1,http://www.cbc.gov.tw/public/Attachment/1121616205271.xls,xls_risk/2225e438621d315b2ef70d716b16a516.xls
2011-09-23,新聞發布第182號(100年6月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=39308&ctNode=302&mp=1,http://www.cbc.gov.tw/public/Attachment/192316165971.xls,xls_risk/1b2692d2a00e21d4f930dcfb41581c4e.xls
2011-06-24,新聞發布第120號(100年3月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=38820&ctNode=302&mp=1,http://www.cbc.gov.tw/public/Attachment/162416283271.xls,xls_risk/3c74bd58eac0b85da4126a158b0e13f4.xls
2011-03-24,新聞發布第055號(99年12月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=38366&ctNode=302&mp=1,http://www.cbc.gov.tw/public/Attachment/132416182071.XLS,xls_risk/863eb71d47ddd431d10e5c4944795455.xls
2010-11-26,新聞發布第236號(99年9月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=37757&ctNode=302&mp=1,http://www.cbc.gov.tw/public/Attachment/0112616544871.xls,xls_risk/5545dfca34f91d5afe89b2020c1d9ad6.xls
2010-09-03,新聞發布第169號(99年6月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=37312&ctNode=302&mp=1,http://www.cbc.gov.tw/public/Attachment/09316132971.xls,xls_risk/9b5568d0bd9313bb7836c41546135295.xls
2010-05-28,新聞發布第102號(99年3月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=36723&ctNode=302&mp=1,http://www.cbc.gov.tw/public/Attachment/05281539571.XLS,xls_risk/0ea2904d9a0961c88c3760977fddbb85.xls
2010-03-18,新聞發布第055號(98年12月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=36324&ctNode=302&mp=1,http://www.cbc.gov.tw/public/Attachment/03181559871.xls,xls_risk/1f8a52afaa5c843a68592ec0597c8be3.xls
2009-12-03,新聞發布第211號(98年9月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=35705&ctNode=302&mp=1,http://www.cbc.gov.tw/public/Attachment/912314425371.xls,xls_risk/b47de301ff9911117c4286b4025307bb.xls
2009-09-10,新聞發布第163號(98年6月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=35234&ctNode=302&mp=1,http://www.cbc.gov.tw/public/Attachment/991015272871.xls,xls_risk/b164f9b116d68254f75b3f025f85ad2b.xls
2009-06-04,新聞發布第105號(98年3月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=34546&ctNode=302&mp=1,http://www.cbc.gov.tw/public/Attachment/9641137771.xls,xls_risk/cd10ee4f0427f56ce49edc5356a9cbb8.xls
2009-03-20,新聞發布第067號(97年12月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=34167&ctNode=302&mp=1,http://www.cbc.gov.tw/public/Attachment/93209293871.xls,xls_risk/538882be21082603606c361006d244a1.xls
2008-12-09,新聞發布第241號(97年9月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=33257&ctNode=302&mp=1,http://www.cbc.gov.tw/public/Attachment/81291614471.xls,xls_risk/45e0012a30bf4dd32ef92d96c376e191.xls
2008-09-11,新聞發布第182號(97年6月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=32537&ctNode=302&mp=1,http://www.cbc.gov.tw/public/Attachment/89151419671.xls,xls_risk/2082948476bd68279e1b49e3d28e447b.xls
2008-06-17,新聞發布第117號(97年3月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=31695&ctNode=302&mp=1,http://www.cbc.gov.tw/public/Attachment/86181734071.xls,xls_risk/6e1df30c3316cd7e5c5a658d26523ae6.xls
2008-03-13,新聞發布第059號(96年12月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=24463&ctNode=302&mp=1,http://www.cbc.gov.tw/secretariant/release/m9703/report970313.xls,xls_risk/1383531ab2ed54ed57f6c67ef9f9fc13.xls
2007-12-14,新聞發布第216號(96年9月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=24338&ctNode=302&mp=1,http://www.cbc.gov.tw/secretariant/release/m9612/report961214.xls,xls_risk/fddf65b88f6ac37adc816bce3ee62da2.xls
2007-09-12,"新聞發布第165號(96年6月底本國銀行國家風險統計 )",http://www.cbc.gov.tw/ct.asp?xItem=24209&ctNode=302&mp=1,http://www.cbc.gov.tw/secretariant/release/m9609/report960912.xls,xls_risk/41d45d1246fd692e08f4f5b1f38a7d2f.xls
2007-06-14,新聞發布第104號(96年3月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=24373&ctNode=302&mp=1,http://www.cbc.gov.tw/secretariant/release/m9606/report960614.xls,xls_risk/4176e65cd6e45c9d3c30fc332812d091.xls
2007-03-27,新聞發布第049號(95年12月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=24010&ctNode=302&mp=1,http://www.cbc.gov.tw/secretariant/release/m9603/report960327.xls,xls_risk/643359c0c957ad560e7d1badbfedb467.xls
2007-01-09,"新聞發布第005號 (95年9月底本國銀行國家風險統計 )",http://www.cbc.gov.tw/ct.asp?xItem=24056&ctNode=302&mp=1,http://www.cbc.gov.tw/secretariant/release/m9601/report960109.xls,xls_risk/6e3f803a6506d0e621a75c199d610b12.xls
2006-10-13,新聞發布第177號(95年6月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=23722&ctNode=302&mp=1,http://www.cbc.gov.tw/secretariant/release/m9510/report951013.xls,xls_risk/66fedf88c7b433a5bc77edc71c847278.xls
2006-07-11,新聞發布第125號(95年3月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=23641&ctNode=302&mp=1,http://www.cbc.gov.tw/secretariant/release/m9507/report950711.xls,xls_risk/63b28bda250b9e66aad6bbcaff7862c4.xls
2006-04-03,"新聞發布第054號 (94年12月底本國銀行國家風險統計 )",http://www.cbc.gov.tw/ct.asp?xItem=23510&ctNode=302&mp=1,http://www.cbc.gov.tw/secretariant/release/m9504/report950403.xls,xls_risk/13762c62b083c6abd8b73619cb4980c5.xls
2006-01-12,"新聞發布第010號 (94年9月底本國銀行國家風險統計)",http://www.cbc.gov.tw/ct.asp?xItem=21788&ctNode=302&mp=1,http://www.cbc.gov.tw/secretariant/release/m9501/report950112.xls,xls_risk/40243efcf62b89163e6e8fed6ed855d7.xls
2005-10-03,新聞發布第157號(94年6月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=21298&ctNode=302&mp=1,http://www.cbc.gov.tw/secretariant/release/m9410/report941003.xls,xls_risk/b327d4f1ea99199e858452863d99f18c.xls
2005-06-28,"新聞發布第102號 (94年3月底本國銀行國家風險統計)",http://www.cbc.gov.tw/ct.asp?xItem=21139&ctNode=302&mp=1,http://www.cbc.gov.tw/secretariant/release/m9406/report940628.xls,xls_risk/8ee01d7d9c375e4d1392da8628a11dae.xls
2005-04-07,新聞發布第057號(93年12月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=22022&ctNode=302&mp=1,http://www.cbc.gov.tw/secretariant/release/m9404/report940407.xls,xls_risk/5516706a2481bccc2de67dee8610e901.xls
2004-10-08,新聞發布第173號(93年6月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=22894&ctNode=302&mp=1,http://www.cbc.gov.tw/m9310/report931008.xls[無法下載],xls_risk/3c7297b4bba2387eb0e01dfd9770340a.xls
2004-07-02,新聞發布第111號(九十三年三月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=22854&ctNode=302&mp=1,http://www.cbc.gov.tw/m9307/report930702.xls[無法下載],xls_risk/ef56c76d5b8a4c50611e1843438983b1.xls
2004-03-17,新聞發布第046號(九十二年十二月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=22567&ctNode=302&mp=1,http://www.cbc.gov.tw/secretariant/release/m9303/report930317.xls,xls_risk/a11959cb6df73262110d68c0c6b17b75.xls
2003-12-17,新聞發布第216號(九十二年九月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=21579&ctNode=302&mp=1,http://www.cbc.gov.tw/m9212/report921217.xls[無法下載],xls_risk/ce223e99fc3f8ba588283935325169da.xls
2003-09-18,新聞發布第156號(九十二年六月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=20772&ctNode=302&mp=1,http://www.cbc.gov.tw/m9209/report920918.xls[無法下載],xls_risk/9f46673ee8cab5facd45bfde99b0bae8.xls
2003-07-02,新聞發布第112號(九十二年三月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=20864&ctNode=302&mp=1,http://www.cbc.gov.tw/m9207/report920702.xls[無法下載],xls_risk/fed4b7ff7a1dde1b2073a6a213a4003a.xls
2003-03-27,新聞發布第053號(九十一年十二月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=23143&ctNode=302&mp=1,http://www.cbc.gov.tw/m9203/report920327.xls[無法下載],xls_risk/33eb1712f10878de18585cdea6001e0f.xls
2002-12-20,新發布第219號(九十一年九月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=23197&ctNode=302&mp=1,http://www.cbc.gov.tw/m9112/report9112201.xls[無法下載],xls_risk/8f20d610e7e41fed53c50c2a7fd658db.xls
2002-12-20,新發布第219號(九十一年九月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=23197&ctNode=302&mp=1,http://www.cbc.gov.tw/m9112/report9112202.xls[無法下載],xls_risk/86257040ed324b6761472dd178f6cae0.xls
2002-09-16,新聞發布第161號(九十一年六月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=20334&ctNode=302&mp=1,http://www.cbc.gov.tw/m9109/report0916.xls[無法下載],xls_risk/3ba6cbfe2ac2bc84a0fb5c59569de2fc.xls
2002-06-17,新聞發布第102號(九十一年三月底本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=23110&ctNode=302&mp=1,http://www.cbc.gov.tw/m9106/910617chart.xls[無法下載],xls_risk/6e156010d14a2367cc4188ff562b335c.xls
2002-03-26,新聞發布第052號(本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=23440&ctNode=302&mp=1,http://www.cbc.gov.tw/m9103/report0326.xls[無法下載],xls_risk/36f14b3b9a34d00c3acfb7b8e3ef89e8.xls
2001-12-04,新聞發布第238號(本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=22475&ctNode=302&mp=1,http://www.cbc.gov.tw/m9012/report1204.xls[無法下載],xls_risk/33b4ebcf55a8799c70f5dd0ec0ea3cfb.xls
2001-09-27,新聞發布第190號(本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=20918&ctNode=302&mp=1,http://www.cbc.gov.tw/m9009/report0927.xls[無法下載],xls_risk/38ccf6b0bc88fa6ccbce7d9d56be65fd.xls
2001-07-02,新聞發布第124號(本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=20399&ctNode=302&mp=1,http://www.cbc.gov.tw/m9007/report0702.xls[無法下載],xls_risk/0d3b442c72fe3b4ccf28c7933a7d9adf.xls
2001-04-17,新聞發布第70號(本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=22952&ctNode=302&mp=1,http://www.cbc.gov.tw/m9004/report0417.xls[無法下載],xls_risk/274a4298782fb4ff52997f988a35d742.xls
2001-04-17,新聞發布第70號(本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=22952&ctNode=302&mp=1,http://www.cbc.gov.tw/m9004/report0417.xls[無法下載],xls_risk/274a4298782fb4ff52997f988a35d742.xls
2001-04-17,新聞發布第70號(本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=22952&ctNode=302&mp=1,http://www.cbc.gov.tw/m9004/report0417.xls[無法下載],xls_risk/274a4298782fb4ff52997f988a35d742.xls
2001-04-17,新聞發布第70號(本國銀行國家風險統計),http://www.cbc.gov.tw/ct.asp?xItem=22952&ctNode=302&mp=1,http://www.cbc.gov.tw/m9004/report0417.xls[無法下載],xls_risk/274a4298782fb4ff52997f988a35d742.xls
